Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
1,Tara Beilsmith,Southeast Mo. St.,Sr.,5-7,L,125,797
2,Hope Matschner,Iona,Sr.,5-10,L,116,746
3,Jada Wills,Drake,Sr.,5-10,L/DS,128,736
4,Christina Martinez Mundo,Eastern Ill.,Sr.,5-4,L/DS,120,676
5,Emily Wichmann,Oakland,Jr.,5-3,L/DS,121,659
6,Brooke Hudson,Florida A&M,Sr.,5-3,DS,121,644
7,Carlie Rodgers,Saint Louis,Sr.,5-7,DS,131,631
8,Emma Hickey,Valparaiso,So.,5-8,L,121,628
9,Jenny Wessling,Wright St.,So.,5-7,DS,118,626
10,Paige Gallentine,Chattanooga,Jr.,5-8,L/DS,122,624
11,Ryann Jaqua,Toledo,Sr.,5-7,OH,121,619
12,Alasha Colon,LIU,Jr.,5-6,L,113,614
13,Rocio Moro,North Florida,Sr.,5-5,L/DS,123,610
14,Jaelynn Elgert,The Citadel,Sr.,5-8,L,118,609
15,Bailey Tillman,McNeese,Jr.,5-5,L,117,608
16,Emma Walker,Cleveland St.,Jr.,5-5,DS,120,595
17,Andelyn Simkins,Western Mich.,Sr.,5-10,L/DS,119,592
18,Teagan Polcovich,Missouri St.,Sr.,5-7,DS,122,586
19,Bella Brady,Davidson,Sr.,5-4,L/DS,108,577
20,Anna Burke,Northern Ky.,Sr.,5-8,L/DS,121,574
21,Mari Hinkle,Illinois St.,Sr.,5-9,L,104,572
22,Anja Kujundzic,VCU,Fr.,5-5,L,113,570
-,Maddie Schermerhorn,Purdue,Sr.,5-10,DS,125,570
24,Peighton Isley,Morehead St.,Jr.,5-6,DS,113,564
25,Rachel McBride,Belmont,Sr.,5-7,L/DS,128,563
26,Nia McCardell,Rice,Sr.,5-7,L,113,560
27,Rachel Krasowski,DePaul,Sr.,5-3,L/DS,111,553
28,Erin Powers,UNI,Jr.,5-7,DS,114,552
29,Jaymeson Kinley,Butler,Sr.,5-4,L,112,550
30,Karissa Kaminski,Dayton,So.,5-8,L/DS,119,547
31,Dionii Fraga,Fresno St.,Fr.,5-4,L/DS,131,544
32,Jolei Akima,Cal Poly,Jr.,5-6,L/DS,130,542
